,Field,Variable,Prop_Top,Min_var,Gini
0,Art,Productivity,1,11.0,0.3704443947417924
1,Art,Productivity,2,8.0,0.3704443947417924
2,Art,Productivity,3,6.0,0.3704443947417924
3,Art,Productivity,4,5.0,0.3704443947417924
4,Art,Productivity,5,4.0,0.3704443947417924
5,Art,Productivity,6,4.0,0.3704443947417924
6,Art,Productivity,7,4.0,0.3704443947417924
7,Art,Productivity,8,3.0,0.3704443947417924
8,Art,Productivity,9,3.0,0.3704443947417924
9,Art,Productivity,10,3.0,0.3704443947417924
10,Art,Productivity,11,3.0,0.3704443947417924
11,Art,Productivity,12,2.0,0.3704443947417924
12,Art,Productivity,13,2.0,0.3704443947417924
13,Art,Productivity,14,2.0,0.3704443947417924
14,Art,Productivity,15,2.0,0.3704443947417924
15,Art,Productivity,16,2.0,0.3704443947417924
16,Art,Productivity,17,2.0,0.3704443947417924
17,Art,Productivity,18,2.0,0.3704443947417924
18,Art,Productivity,19,2.0,0.3704443947417924
19,Art,Productivity,20,2.0,0.3704443947417924
20,Art,Productivity,21,2.0,0.3704443947417924
21,Art,Productivity,22,2.0,0.3704443947417924
22,Art,Productivity,23,2.0,0.3704443947417924
23,Art,Citations,1,35.0,0.9282800219780623
24,Art,Citations,2,19.0,0.9282800219780623
25,Art,Citations,3,13.0,0.9282800219780623
26,Art,Citations,4,10.0,0.9282800219780623
27,Art,Citations,5,8.0,0.9282800219780623
28,Art,Citations,6,6.0,0.9282800219780623
29,Art,Citations,7,5.0,0.9282800219780623
30,Art,Citations,8,5.0,0.9282800219780623
31,Art,Citations,9,4.0,0.9282800219780623
32,Art,Citations,10,3.0,0.9282800219780623
33,Art,Citations,11,3.0,0.9282800219780623
34,Art,Citations,12,3.0,0.9282800219780623
35,Art,Citations,13,2.0,0.9282800219780623
36,Art,Citations,14,2.0,0.9282800219780623
37,Art,Citations,15,2.0,0.9282800219780623
38,Art,Citations,16,2.0,0.9282800219780623
