Field,Variable,Percentage,Gender,Prop_Top,Representation
Mathematics,Productivity,0.05504300234558249,female,1,0.2859380674866994
Mathematics,Productivity,0.9449569976544177,male,1,1.1702250007041042
Mathematics,Productivity,0.06468132041282597,female,2,0.33600732106168946
Mathematics,Productivity,0.935318679587174,male,2,1.1582890070080698
Mathematics,Productivity,0.07503502672409319,female,3,0.3897928823103518
Mathematics,Productivity,0.9249649732759068,male,3,1.145467083888322
Mathematics,Productivity,0.08260986996951808,female,4,0.4291427714300048
Mathematics,Productivity,0.9173901300304821,male,4,1.136086476131341
Mathematics,Productivity,0.08860175357637287,female,5,0.46026948229494724
Mathematics,Productivity,0.9113982464236272,male,5,1.128666189265954
Mathematics,Productivity,0.09211416204517787,female,6,0.47851578513083576
Mathematics,Productivity,0.907885837954822,male,6,1.124316458841095
Mathematics,Productivity,0.10066013283654623,female,7,0.5229104996040691
Mathematics,Productivity,0.8993398671634537,male,7,1.1137332167463012
Mathematics,Productivity,0.10066013283654623,female,8,0.5229104996040691
Mathematics,Productivity,0.8993398671634537,male,8,1.1137332167463012
Mathematics,Productivity,0.10409890502869404,female,9,0.540774275801747
Mathematics,Productivity,0.8959010949713059,male,9,1.1094746767270558
Mathematics,Productivity,0.10929735432109047,female,10,0.567779244303701
Mathematics,Productivity,0.8907026456789096,male,10,1.1030369707341323
Mathematics,Productivity,0.10929735432109047,female,11,0.567779244303701
Mathematics,Productivity,0.8907026456789096,male,11,1.1030369707341323
Mathematics,Productivity,0.11693709449320422,female,12,0.6074662607785577
Mathematics,Productivity,0.8830629055067958,male,12,1.0935759952924111
Mathematics,Productivity,0.11693709449320422,female,13,0.6074662607785577
Mathematics,Productivity,0.8830629055067958,male,13,1.0935759952924111
Mathematics,Productivity,0.11693709449320422,female,14,0.6074662607785577
Mathematics,Productivity,0.8830629055067958,male,14,1.0935759952924111
Mathematics,Productivity,0.11693709449320422,female,15,0.6074662607785577
Mathematics,Productivity,0.8830629055067958,male,15,1.0935759952924111
Mathematics,Productivity,0.12695979374259633,female,16,0.6595323024595413
Mathematics,Productivity,0.8730402062574036,male,16,1.081163987904466
Mathematics,Productivity,0.12695979374259633,female,17,0.6595323024595413
Mathematics,Productivity,0.8730402062574036,male,17,1.081163987904466
Mathematics,Productivity,0.12695979374259633,female,18,0.6595323024595413
Mathematics,Productivity,0.8730402062574036,male,18,1.081163987904466
Mathematics,Productivity,0.12695979374259633,female,19,0.6595323024595413
Mathematics,Productivity,0.8730402062574036,male,19,1.081163987904466
Mathematics,Productivity,0.12695979374259633,female,20,0.6595323024595413
Mathematics,Productivity,0.8730402062574036,male,20,1.081163987904466
Mathematics,Productivity,0.12695979374259633,female,21,0.6595323024595413
Mathematics,Productivity,0.8730402062574036,male,21,1.081163987904466
